"","Price","Age_08_04","KM","HP","Met_Color","Automatic","CC","Doors","Quarterly_Tax","Weight","pred.test"
"739",8750,67,83560,86,0,0,1300,3,69,1015,8005.24696333585
"741",8250,64,82723,86,0,0,1300,3,69,1015,8358.48715490142
"747",8250,66,81250,110,0,0,1600,3,19,1050,9016.05127549043
"748",10950,65,81192,110,1,0,1600,3,85,1065,9563.53523740378
"749",8950,61,81170,110,1,0,1600,4,69,1040,9162.21745193034
"750",8750,66,81083,86,0,0,1300,3,69,1015,8160.93470962498
"751",10450,61,80714,110,1,0,1600,5,85,1075,10050.8764253392
"753",8450,65,80439,110,1,0,1600,4,69,1035,8578.5953720151
"755",9950,68,80426,110,1,0,1600,3,85,1055,8948.93070653865
"764",9130,67,79762,86,1,0,1300,3,69,1015,8070.80655291006
"768",9500,57,78955,86,1,0,1300,5,69,1045,9819.48065623493
"770",7950,68,78521,86,0,0,1300,3,69,1015,7979.29746750479
"773",9500,61,78063,107,1,1,1600,5,85,1100,10742.5302862681
"776",9750,65,77500,110,1,0,1600,3,69,1050,9193.71304956471
"778",8950,68,77029,86,1,0,1300,3,69,1015,8005.05178757976
"780",8900,66,76791,110,1,0,1600,5,85,1070,9409.42265845454
"783",8950,59,76162,110,1,0,1600,5,85,1075,10355.3127512485
"788",9900,68,75000,110,1,0,1600,5,85,1075,9358.99406504732
"793",7750,68,74875,110,0,0,1600,5,85,1070,9216.6344171598
"798",8950,68,74308,110,0,0,1600,3,69,1050,8910.01987916673
"803",9250,64,73500,110,1,0,1600,3,69,1050,9375.69022579633
"805",8900,64,73300,86,1,0,1300,3,69,1015,8521.14329301565
"808",7950,67,72880,86,1,0,1332,3,69,1015,8107.76953493353
"809",8250,63,72522,110,1,0,1600,3,69,1050,9505.50282075009
"811",7950,57,72000,86,0,0,1300,3,69,1015,9334.09857623369
"814",10950,62,71000,110,0,0,1600,5,85,1070,9961.10760088411
"815",8950,60,70954,110,0,0,1600,3,69,1050,9871.36124822371
"816",9450,63,70908,86,0,0,1300,5,69,1035,8991.76567265718
"821",9450,59,70218,110,1,0,1600,3,69,1050,9996.99653388917
"826",9750,68,69103,110,0,0,1600,4,69,1035,8435.48074229443
"830",9250,58,68723,86,0,0,1300,3,69,1025,9566.76882393013
"832",9900,63,68238,86,0,0,1300,5,69,1050,9471.40621459607
"838",9750,67,67110,86,1,0,1300,5,69,1035,8605.60229537431
"841",10400,68,66785,86,0,1,1300,3,69,1045,9048.9838001758
"847",10750,63,65896,110,1,0,1600,3,85,1065,10053.4302864266
"850",9950,59,65463,110,1,0,1600,5,85,1070,10395.4773530076
"851",8100,68,65400,86,1,0,1300,4,69,1000,7641.40122454231
"856",8950,62,64966,86,0,0,1300,3,69,1020,9035.38037172726
"859",7995,62,64797,110,1,0,1600,5,85,1075,10212.6987081781
"860",8750,65,64772,110,1,0,1600,3,69,1050,9413.4188041989
"863",9750,67,64613,110,1,0,1600,5,85,1085,9940.25583352688
"867",10950,58,63870,72,0,0,2000,5,185,1135,10420.2889273238
"869",9950,65,63000,86,1,1,1300,5,85,1065,9769.51308406656
"870",10450,61,63000,86,0,1,1300,3,69,1050,10049.3515298039
"874",9750,68,62292,110,1,0,1600,3,85,1065,9550.98741535539
"875",8950,65,62225,110,1,0,1600,3,69,1050,9457.38412137781
"877",8750,66,62135,86,1,0,1300,5,69,1035,8804.40954001953
"884",8250,65,61384,110,1,0,1600,3,69,1050,9471.90113423509
"888",9750,62,61149,86,1,0,1300,5,69,1040,9417.66980195133
"889",11250,61,61144,110,1,0,1600,5,85,1090,10822.2381531139
"891",7950,60,61100,86,1,0,1300,3,69,1015,9183.45788515063
"892",11500,68,61100,110,1,0,1600,5,85,1075,9598.93042499508
"894",7995,65,60724,86,1,0,1300,3,69,1015,8625.2945414239
"895",10995,59,60708,86,1,0,1300,5,69,1045,9908.59174546587
"899",8950,65,60000,86,1,0,1300,3,69,1015,8637.79194607153
"908",8950,65,58829,110,0,0,1600,3,69,1050,9516.00454428304
"909",8250,66,58654,110,1,0,1600,5,85,1070,9722.49645416479
"910",7750,65,58300,86,1,0,1300,3,69,1015,8667.13668074141
"914",12950,67,58058,110,1,0,1600,3,85,1065,9737.00380800628
"915",9950,58,58000,110,1,0,1600,3,69,1050,10320.8296098367
"916",10495,62,58000,110,1,0,1600,3,85,1065,10302.6586898781
"917",7950,68,57565,86,1,0,1300,5,69,1035,8657.43360802704
"925",9950,63,57000,86,1,0,1300,5,69,1035,9231.84012547398
"927",10950,62,56209,107,1,1,1600,3,85,1080,10690.4328694534
"936",10950,57,55000,110,0,0,1600,5,85,1075,10946.464396491
"942",9250,61,54000,110,1,0,1600,3,85,1055,10195.6011681774
"947",11500,65,53053,110,1,0,1600,5,85,1075,10076.6268147782
"950",9500,64,52968,110,1,0,1600,3,69,1050,9730.10557417385
"959",8950,65,51000,86,1,0,1300,3,69,1015,8793.14642373556
"963",9750,61,50173,110,1,0,1600,5,85,1075,10578.0632144877
"968",9950,61,49000,110,0,0,1600,3,69,1050,10137.3918623579
"969",9950,63,48738,110,0,0,1600,5,85,1055,9798.90274357754
"970",10500,62,47750,86,1,0,1300,5,69,1040,9648.9580959758
"971",9950,63,47612,86,0,0,1300,3,69,1015,9077.49023720029
"972",10495,68,47500,86,1,0,1300,5,69,1035,8831.1716988813
"973",9500,66,47237,110,0,0,1600,3,69,1050,9603.17036980002
"977",9900,59,46929,86,1,0,1300,3,69,1025,9830.03758068359
"978",8900,63,46000,86,0,0,1300,5,69,1035,9421.71782039667
"979",8745,65,45681,110,0,0,1600,3,69,1050,9742.96017454154
"980",8750,65,45549,86,1,0,1300,3,69,1015,8887.23945237406
"983",8850,65,45000,110,0,0,1600,5,85,1075,10215.6345490702
"987",8250,63,44944,110,1,0,1600,4,69,1035,9417.15765374192
"988",9950,61,44597,86,0,0,1300,3,19,1015,9355.39547064628
"989",9995,68,44458,86,0,0,1300,3,69,1015,8567.27964224585
"990",9950,59,43818,110,0,0,1600,5,85,1070,10769.1048717895
"991",10495,60,43426,110,1,0,1600,5,85,1070,10662.9406806579
"1001",8950,60,40000,86,1,0,1300,4,69,1000,8983.29201744162
"1003",8250,66,39144,110,1,0,1600,3,69,1050,9742.86856843723
"1006",9750,68,37759,110,1,0,1600,5,85,1070,9857.31628304621
"1007",10950,61,37500,110,0,0,1600,5,85,1085,11085.8542785797
"1009",9750,62,37000,86,0,0,1300,3,69,1015,9373.60116968907
"1016",10950,62,35512,110,1,0,1600,3,85,1065,10690.8377447346
"1020",9750,64,34114,110,0,0,1600,3,69,1050,10055.5559432713
"1023",10900,57,33535,110,0,0,1600,4,69,1035,10291.6797968796
"1024",10450,65,33000,110,0,0,1600,3,69,1050,9961.85463357014
"1034",10000,57,28000,86,0,0,1300,3,69,1015,10093.6093559245
"1037",8950,62,25505,86,1,0,1300,5,69,1035,9888.42523096918
"1049",4400,74,203254,72,1,0,2000,3,64,1135,6469.07252848302
"1053",6950,76,191620,72,0,0,2000,5,185,1150,6615.91712096787
"1054",5750,76,183277,72,0,0,2000,3,185,1115,6009.97680477795
"1066",6550,73,158492,86,0,0,1300,3,69,1015,6034.21565523684
"1067",8950,69,156204,72,1,0,2000,3,185,1115,7267.81552719986
"1070",7950,69,155000,72,0,0,2000,3,185,1115,7288.59850398958
"1071",7450,76,154900,72,1,0,2000,5,185,1140,6960.72869190469
"1075",6900,69,146304,72,1,0,2000,3,185,1115,7438.70545263028
"1079",7950,71,139145,73,0,0,2000,2,185,1115,7492.81805772805
"1081",7950,74,137741,90,1,0,2000,5,185,1135,7798.42521910821
"1084",5950,71,134660,72,0,0,2000,5,64,1135,7730.24001016762
"1089",6500,78,130000,86,0,0,1300,5,19,1015,5699.71217395364
"1090",7250,77,128960,110,1,0,1600,5,85,1070,7266.66363901373
"1092",8250,73,128006,110,1,0,1600,3,69,1050,7418.45231041731
"1093",7250,71,127159,72,1,0,2000,3,185,1115,7543.31746641037
"1095",7900,77,126000,110,1,0,1600,5,69,1050,6739.68860469181
"1102",6450,72,123403,110,1,0,1600,3,69,1050,7610.83823665242
"1104",7950,74,123077,86,1,0,1300,3,69,1015,6532.60478313048
"1110",8950,76,120263,72,1,0,2000,5,64,1135,7414.1016810328
"1117",6500,78,115000,107,1,1,1600,5,85,1100,8185.11563918371
"1124",9250,76,110901,110,1,0,1600,5,85,1085,8124.87381786374
"1127",6800,80,110000,110,1,0,1600,4,69,1035,6374.36383360922
"1130",7750,71,107516,110,1,0,1600,3,69,1050,7998.00415466094
"1135",7750,72,106108,110,1,0,1600,3,69,1050,7909.37775789677
"1141",6750,74,104000,86,1,0,1300,3,69,1010,6717.38714198612
"1142",7950,73,103121,86,1,0,1300,5,69,1035,7306.41005673767
"1148",8450,75,101159,110,1,0,1600,5,85,1085,8405.967150845
"1150",8050,74,100732,86,1,1,1300,4,69,1030,7221.03371196212
"1152",7750,78,100487,110,0,0,1600,4,69,1035,6764.43499992864
"1153",8500,80,100458,110,0,0,1600,5,85,1085,7853.4138299228
"1155",6490,80,100123,110,1,0,1600,3,69,1050,7109.24255182916
"1158",8950,69,99374,86,1,0,1300,5,69,1035,7822.81227112888
"1159",6950,72,99245,110,1,0,1600,5,19,1114,9615.99871890826
"1160",8750,79,98742,110,0,0,1600,5,85,1085,7995.96549204501
"1164",8900,78,97534,110,1,0,1600,5,85,1070,7696.19621008495
"1172",6990,79,95700,110,0,0,1600,5,85,1085,8048.47530549545
"1174",6950,79,95000,86,1,0,1300,5,69,1035,6769.00713013086
"1178",7200,79,93090,86,1,0,1300,5,69,1035,6801.97680261289
"1181",8250,77,93000,110,1,0,1600,5,85,1075,8031.90843429082
"1182",6250,80,92830,86,1,0,1300,3,69,1015,6377.13220905636
"1187",7950,78,91399,110,1,0,1600,5,85,1070,7802.09617902592
"1194",8450,70,89983,110,0,0,1600,3,85,1055,8558.10002943954
"1196",8750,74,89800,72,1,0,2000,3,185,1115,7849.40167805089
"1197",8750,79,89739,86,1,0,1300,5,69,1035,6859.8204531298
"1199",7450,75,89507,86,0,0,1300,3,69,1015,6999.146243103
"1203",6950,73,88186,72,1,0,2000,3,185,1115,7990.19265609291
"1208",7450,72,87083,110,0,0,1600,4,69,1035,7673.39405228189
"1210",7250,78,87000,110,1,0,1600,4,69,1035,6997.24231551248
"1214",6750,80,86109,110,1,0,1600,3,85,1055,7495.66408412686
"1220",7950,73,85200,110,1,0,1600,3,69,1050,8157.35272940465
"1226",7950,74,84123,110,0,0,1600,3,69,1050,8063.01274018417
"1227",6950,80,84000,110,0,0,1600,5,85,1075,7848.47068681202
"1229",7750,77,84000,110,1,0,1600,5,85,1085,8476.29760988722
"1230",8700,75,83850,110,1,0,1600,3,85,1055,8099.31176659189
"1240",6950,77,82103,86,1,0,1300,3,69,1015,6901.08970996606
"1242",8950,71,82000,110,1,0,1600,5,85,1075,8899.37057949915
"1244",7750,76,81930,110,0,0,1600,5,85,1070,8191.40783456565
"1251",8950,77,78435,86,0,0,1300,3,69,1015,6964.40529041846
"1255",8000,78,77000,110,0,0,1600,3,69,1050,7734.24421159383
"1261",7950,72,75840,86,0,0,1300,5,69,1035,7890.25474346884
"1262",9500,77,75799,110,1,0,1600,3,19,1050,7867.90614527194
"1273",8450,69,74573,110,1,0,1600,5,85,1085,9542.46872815015
"1278",8800,79,74093,110,1,0,1600,5,85,1075,8132.41218521712
"1281",8450,78,73638,86,1,1,1300,4,19,1015,6803.44472240968
"1282",7400,75,73460,110,1,0,1600,5,85,1070,8450.54440137039
"1296",7500,80,71500,110,1,0,1600,4,69,1035,7038.93576583864
"1301",7950,76,71000,110,1,0,1600,3,69,1050,8063.67534679839
"1304",8500,80,70597,107,1,1,1600,3,85,1080,8409.31949363765
"1305",7500,73,70482,110,1,0,1600,5,19,1075,8872.32830426329
"1308",9950,80,69904,110,0,0,1600,5,85,1070,7947.27297308495
"1309",7950,75,69388,86,0,0,1300,3,69,1010,7201.91519815041
"1310",9950,75,69320,110,1,0,1600,5,85,1070,8522.00746109584
"1314",5950,74,68285,110,1,0,1600,3,69,1050,8336.40209765558
"1315",7995,76,68000,110,1,0,1600,5,85,1075,8576.37939173848
"1316",8950,70,68000,86,1,1,1300,3,69,1045,8802.14946226261
"1319",8500,78,67255,110,0,0,1600,5,85,1085,8652.41250467117
"1328",8950,78,65500,86,1,0,1300,3,69,1015,7074.75345632464
"1332",6950,75,65006,86,1,0,1300,3,69,1015,7422.07291613035
"1335",6999,71,64000,110,1,0,1600,5,85,1070,9065.562185861
"1343",8500,77,62285,110,1,0,1600,5,85,1075,8562.09874334086
"1346",8250,77,61648,110,1,0,1600,5,85,1070,8428.57703907156
"1347",7950,75,61626,86,0,0,1300,5,69,1035,7796.8190233834
"1352",5845,70,60600,86,0,0,1300,3,85,1060,9363.43741301826
"1356",6750,69,60050,110,1,0,1600,3,69,1050,9043.20515328953
"1358",7900,76,60000,110,0,0,1600,3,69,1050,8253.55304172108
"1359",7950,76,59815,110,1,0,1587,3,85,1055,8434.50779801267
"1362",6495,71,59164,110,0,0,1600,4,69,1035,8268.25164531858
"1363",8250,70,59017,107,1,1,1600,3,85,1080,9738.51633870809
"1365",7500,74,58454,86,1,0,1300,3,69,1015,7648.10171758403
"1367",8250,80,58267,110,1,0,1600,5,85,1070,8148.14631270452
"1368",8950,80,58000,110,0,0,1600,3,85,1055,7980.87064108885
"1369",9750,70,57829,110,0,0,1600,3,19,1050,8968.61244434101
"1372",8950,75,57537,86,1,0,1300,5,69,1050,8300.95378796732
"1376",7750,80,57000,86,0,0,1300,4,69,1000,6431.22983645745
"1377",7800,73,56566,110,1,0,1600,3,69,1050,8651.62163089704
"1378",8750,73,56307,110,1,0,1600,3,69,1050,8656.09238753204
"1384",10950,76,53133,110,1,0,1600,5,85,1070,8688.49037826462
"1385",9450,77,52900,110,1,0,1600,4,19,1075,8854.93270321661
"1389",8750,75,52000,110,0,0,1600,5,19,1075,8965.49587152212
"1390",8750,69,52000,110,1,0,1600,3,69,1050,9182.16110275568
"1392",8950,70,51874,86,0,0,1300,4,69,1000,7649.02025943416
"1394",7250,69,49640,110,1,0,1600,4,69,1035,8658.51268933292
"1399",8950,75,48400,110,1,0,1600,5,85,1075,9027.63766258773
"1400",8950,74,48242,86,1,0,1300,5,69,1035,8140.7791349927
"1401",7450,70,47955,110,1,0,1600,5,85,1070,9455.45543803296
"1404",7000,73,47360,86,0,0,1300,3,69,1010,7808.01539646596
"1405",8500,77,45507,110,1,0,1600,3,69,1050,8390.79479387177
"1410",7900,75,43720,110,1,0,1600,5,85,1070,8963.90464200683
"1427",9950,78,30964,110,0,1,1600,3,85,1080,9396.00372025105
